Year,Rain_fall,Temp,wind_speed,Humidity
1901,1723.7291,24.03226666666667,1.5583333333333333,82.0
1902,1688.8817,24.211533333333335,1.8416666666666668,80.75
1903,1733.3813,23.816833333333335,1.2833333333333334,81.75
1904,1995.0694,23.704908333333336,1.5833333333333333,82.0
1905,1696.812,24.254116666666665,1.2833333333333334,80.75
1906,1671.85783,24.290225000000003,1.5583333333333333,82.0
1907,1727.1748,23.909716666666668,1.8416666666666668,81.75
1908,1960.5606,23.92610833333333,1.8416666666666668,82.0
1909,1987.8236,24.118058333333334,1.5583333333333333,82.0
1910,1904.6456,23.887,1.8416666666666668,80.75
1911,1762.407,24.158683333333332,1.2833333333333334,81.75
1912,1741.5205,24.054041666666667,1.5833333333333333,82.0
1913,1699.1317,23.729933333333335,1.2833333333333334,80.75
1914,1770.5928,24.153366666666667,1.5583333333333333,82.0
1915,1920.83046,24.155766666666665,1.8416666666666668,81.75
1916,1666.896,23.860375,1.8416666666666668,82.0
1917,1867.3213999999998,23.619791666666668,1.5583333333333333,80.75
1918,1932.7991,23.830366666666666,1.2833333333333334,80.75
1919,1635.8554,24.266966666666665,1.5583333333333333,81.75
1920,1928.0714,24.068699999999996,1.8416666666666668,82.0
1921,1816.9853,24.008691666666664,1.2833333333333334,80.75
1922,1730.1026,24.309183333333333,1.5583333333333333,80.75
1923,1845.8713,24.11825,1.8416666666666668,81.75
1924,1846.6062,24.29339166666667,1.8416666666666668,82.0
1925,1656.80689,23.800141666666665,1.2833333333333334,80.75
1926,1955.0165,24.280608333333333,1.5583333333333333,81.75
1927,1926.3583,24.141683333333333,1.8416666666666668,82.0
1928,1755.9451,24.336775,1.8416666666666668,80.75
1929,1881.63,24.455191666666668,1.2833333333333334,81.75
1930,1668.0654,24.20215,1.5583333333333333,82.0
1931,1599.2678,24.776075000000002,1.8416666666666668,80.75
1932,1764.6776,23.95135,1.8416666666666668,80.75
1933,1720.2924,24.28718333333333,1.2833333333333334,82.0
1934,1887.6741,23.896424999999997,1.5583333333333333,81.75
1935,1741.9916,24.520933333333332,1.8416666666666668,82.0
1936,1640.1002,23.954941666666667,1.8416666666666668,80.75
1937,1705.1843,24.4768,1.2833333333333334,81.75
1938,1713.9494,24.089866666666666,1.5583333333333333,82.0
1939,1772.6625,24.061325,1.8416666666666668,80.75
1940,1738.8587,24.358416666666667,1.8416666666666668,81.75
1941,1960.77831,24.731350000000003,1.2833333333333334,82.0
1942,1760.0899000000002,24.452608333333334,1.5583333333333333,80.75
1943,1697.5357,24.15386666666667,1.8416666666666668,80.75
1944,1954.0026,24.11860833333333,1.8416666666666668,81.75
1945,1996.5443,23.993191666666664,1.2833333333333334,82.0
1946,1842.2892,24.469608333333337,1.5583333333333333,80.75
1947,1707.1116,24.159475,1.8416666666666668,81.75
1948,1758.40979,24.32773333333333,1.2833333333333334,82.0
1949,1946.8035,24.319308333333336,1.5583333333333333,80.75
1950,1817.9597,24.069458333333333,1.8416666666666668,81.75
1951,1944.95891,24.009958333333334,1.2833333333333334,82.0
1952,1833.08427,24.251416666666668,1.5583333333333333,80.75
1953,1863.5238,24.252675,1.8416666666666668,80.75
1954,1694.9307,24.11555,1.2833333333333334,82.0
1955,1716.22739,23.828483333333335,1.5583333333333333,80.75
1956,1824.4136,23.781075,1.8416666666666668,81.75
1957,1624.6598000000001,24.047441666666668,1.2833333333333334,82.0
1958,1596.9462,24.174533333333333,1.5583333333333333,80.75
1959,1603.8826,24.160625,1.8416666666666668,81.75
1960,1885.2218,24.195533333333334,1.5583333333333333,82.0
1961,2036.99,24.032441666666667,1.8416666666666668,80.75
1962,1545.3964,23.729024999999996,1.2833333333333334,81.75
1963,1963.8845999999999,23.874466666666667,1.5833333333333333,82.0
1964,1941.6334000000002,23.904741666666666,1.2833333333333334,80.75
1965,1672.88736,24.039158333333333,1.5583333333333333,82.0
1966,1800.7516,24.4294,1.8416666666666668,81.75
1967,1617.2377999999999,23.62075833333333,1.8416666666666668,82.0
1968,1660.0611,23.90449166666667,1.5583333333333333,80.75
1969,1588.1192,24.12375,1.2833333333333334,80.75
1970,2018.7312000000002,23.84290833333333,1.5583333333333333,81.75
1971,1868.7101,23.461633333333335,1.8416666666666668,82.0
1972,2052.5683,23.990658333333332,1.2833333333333334,80.75
1973,1649.2624,24.370833333333334,1.5583333333333333,80.75
1974,1906.3752,23.716425,1.8416666666666668,81.75
1975,1953.3678,23.972633333333334,1.8416666666666668,82.0
1976,1603.7943,23.65795,1.2833333333333334,80.75
1977,1587.06941,23.968075,1.5583333333333333,81.75
1978,2013.1213,24.080908333333337,1.8416666666666668,82.0
1979,1700.0603,24.401475,1.8416666666666668,80.75
1980,1861.4308,24.405366666666666,1.2833333333333334,81.75
1981,1817.1254,24.083491666666664,1.5583333333333333,82.0
1982,1775.0251,24.048433333333335,1.8416666666666668,80.75
1983,1851.7334,24.33875,1.8416666666666668,80.75
1984,1869.09087,23.826091666666667,1.2833333333333334,82.0
1985,1785.1774,23.89045,1.5583333333333333,81.75
1986,2110.13136,24.00690833333333,1.8416666666666668,82.0
1987,1580.4129,24.581091666666666,1.8416666666666668,80.75
1988,1689.4166,24.122733333333333,1.2833333333333334,81.75
1989,1696.27917,24.140475,1.5583333333333333,82.0
1990,1934.259,24.412175,1.8416666666666668,80.75
1991,1600.6554,24.807658333333332,1.8416666666666668,81.75
1992,1661.9536,24.36355,1.2833333333333334,82.0
1993,1620.0703,24.361275000000003,1.5583333333333333,80.75
1994,2103.6185,24.657141666666664,1.8416666666666668,80.75
1995,1832.8137,24.422883333333335,1.8416666666666668,81.75
1996,1920.3358,24.126791666666666,1.2833333333333334,82.0
1997,1810.7486,24.560958333333332,1.5583333333333333,80.75
1998,1772.3465,25.339175,1.8416666666666668,81.75
1999,2243.1395,24.304924999999997,1.2833333333333334,82.0
2000,1828.9741000000001,24.332158333333336,1.5583333333333333,80.75
2001,2088.1073,24.574533333333335,1.8416666666666668,81.75
2002,2112.3407,24.767866666666666,1.2833333333333334,82.0
2003,1601.2476,24.79688333333333,1.5583333333333333,80.75
2004,1618.5312000000001,24.476975,1.8416666666666668,80.75
2005,2019.3135,24.654508333333336,1.2833333333333334,82.0
2006,1751.6761999999999,24.794508333333336,1.5583333333333333,80.75
2007,1920.3901,24.417025,1.8416666666666668,81.75
2008,2013.6465,23.950883333333334,1.2833333333333334,82.0
2009,1731.517,24.72468333333333,1.5583333333333333,80.75
2010,1624.0319,24.99546666666667,1.8416666666666668,81.75
2011,2035.0812,23.88865,1.8416666666666668,82.0
2012,2171.8003,24.903925,1.2833333333333334,81.75
2013,2088.1969,24.567741666666667,1.5583333333333333,81.75
2014,1662.923,24.62115833333333,1.8416666666666668,82.0
2015,1737.7875999999999,25.249583333333334,1.8166666666666667,80.75
2016,1737.7875999999999,25.25186666666667,1.8416666666666668,81.0
2017,1737.7875999999999,25.3351,1.8666666666666665,80.5
2018,1737.7875999999999,25.197616666666665,1.8666666666666665,81.25
2019,1737.7875999999999,25.18766666666667,1.8499999999999999,82.0
2020,1730.4639,25.09420833333333,1.8583333333333334,80.41666666666667
2021,1774.5673,25.358408333333333,1.8833333333333335,81.16666666666667
